slot,student 1,student 2
10 AM - 11 AM,dummy17@colostate.edu,dummy19@colostate.edu
11 AM - 12 PM,dummy17@colostate.edu,dummy19@colostate.edu
12 PM - 1 PM,dummy02@colostate.edu,dummy34@colostate.edu
1 PM - 2 PM,dummy02@colostate.edu,dummy04@colostate.edu
2 PM - 3 PM,dummy04@colostate.edu,dummy05@colostate.edu
3 PM - 4 PM,dummy05@colostate.edu,dummy06@colostate.edu
4 PM - 5 PM,dummy06@colostate.edu,dummy07@colostate.edu
5 PM - 6 PM,dummy07@colostate.edu,dummy21@colostate.edu
10 AM - 11 AM2,dummy09@colostate.edu,dummy25@colostate.edu
11 AM - 12 PM2,dummy09@colostate.edu,dummy25@colostate.edu
12 PM - 1 PM2,dummy15@colostate.edu,dummy33@colostate.edu
1 PM - 2 PM2,dummy13@colostate.edu,dummy15@colostate.edu
2 PM - 3 PM2,dummy13@colostate.edu,dummy39@colostate.edu
3 PM - 4 PM2,dummy14@colostate.edu,dummy39@colostate.edu
4 PM - 5 PM2,dummy14@colostate.edu,dummy30@colostate.edu
5 PM - 6 PM2,dummy30@colostate.edu,dummy34@colostate.edu
10 AM - 11 AM3,dummy12@colostate.edu,dummy31@colostate.edu
11 AM - 12 PM3,dummy12@colostate.edu,dummy31@colostate.edu
12 PM - 1 PM3,dummy10@colostate.edu,dummy11@colostate.edu
1 PM - 2 PM3,dummy10@colostate.edu,dummy11@colostate.edu
2 PM - 3 PM3,dummy18@colostate.edu,dummy28@colostate.edu
3 PM - 4 PM3,dummy18@colostate.edu,dummy28@colostate.edu
4 PM - 5 PM3,dummy22@colostate.edu,dummy23@colostate.edu
5 PM - 6 PM3,dummy22@colostate.edu,dummy23@colostate.edu
10 AM - 11 AM4,dummy16@colostate.edu,dummy24@colostate.edu
11 AM - 12 PM4,dummy16@colostate.edu,dummy24@colostate.edu
12 PM - 1 PM4,dummy26@colostate.edu,dummy27@colostate.edu
1 PM - 2 PM4,dummy26@colostate.edu,dummy27@colostate.edu
2 PM - 3 PM4,dummy08@colostate.edu,dummy29@colostate.edu
3 PM - 4 PM4,dummy08@colostate.edu,dummy29@colostate.edu
4 PM - 5 PM4,dummy01@colostate.edu,dummy20@colostate.edu
5 PM - 6 PM4,dummy01@colostate.edu,dummy20@colostate.edu
10 AM - 11 AM5,dummy32@colostate.edu,dummy33@colostate.edu
11 AM - 12 PM5,dummy32@colostate.edu,dummy35@colostate.edu
12 PM - 1 PM5,dummy21@colostate.edu,dummy35@colostate.edu
1 PM - 2 PM5,dummy36@colostate.edu,dummy37@colostate.edu
2 PM - 3 PM5,dummy36@colostate.edu,dummy37@colostate.edu
3 PM - 4 PM5,dummy03@colostate.edu,dummy38@colostate.edu
4 PM - 5 PM5,dummy03@colostate.edu,dummy38@colostate.edu
