student_id,student_email,student_last_name,student_first_name,slot 1,slot 2
1,dummy01@colostate.edu,1,Dummy,4 PM - 5 PM4,5 PM - 6 PM4
2,dummy02@colostate.edu,2,Dummy,12 PM - 1 PM,1 PM - 2 PM
3,dummy03@colostate.edu,3,Dummy,3 PM - 4 PM5,4 PM - 5 PM5
4,dummy04@colostate.edu,4,Dummy,1 PM - 2 PM,2 PM - 3 PM
5,dummy05@colostate.edu,5,Dummy,2 PM - 3 PM,3 PM - 4 PM
6,dummy06@colostate.edu,6,Dummy,3 PM - 4 PM,4 PM - 5 PM
7,dummy07@colostate.edu,7,Dummy,4 PM - 5 PM,5 PM - 6 PM
8,dummy08@colostate.edu,8,Dummy,2 PM - 3 PM4,3 PM - 4 PM4
9,dummy09@colostate.edu,9,Dummy,10 AM - 11 AM2,11 AM - 12 PM2
10,dummy10@colostate.edu,10,Dummy,12 PM - 1 PM3,1 PM - 2 PM3
11,dummy11@colostate.edu,11,Dummy,12 PM - 1 PM3,1 PM - 2 PM3
12,dummy12@colostate.edu,12,Dummy,10 AM - 11 AM3,11 AM - 12 PM3
13,dummy13@colostate.edu,13,Dummy,1 PM - 2 PM2,2 PM - 3 PM2
14,dummy14@colostate.edu,14,Dummy,3 PM - 4 PM2,4 PM - 5 PM2
15,dummy15@colostate.edu,15,Dummy,12 PM - 1 PM2,1 PM - 2 PM2
16,dummy16@colostate.edu,16,Dummy,10 AM - 11 AM4,11 AM - 12 PM4
17,dummy17@colostate.edu,17,Dummy,10 AM - 11 AM,11 AM - 12 PM
18,dummy18@colostate.edu,18,Dummy,2 PM - 3 PM3,3 PM - 4 PM3
19,dummy19@colostate.edu,19,Dummy,10 AM - 11 AM,11 AM - 12 PM
20,dummy20@colostate.edu,20,Dummy,4 PM - 5 PM4,5 PM - 6 PM4
21,dummy21@colostate.edu,21,Dummy,5 PM - 6 PM,12 PM - 1 PM5
22,dummy22@colostate.edu,22,Dummy,4 PM - 5 PM3,5 PM - 6 PM3
23,dummy23@colostate.edu,23,Dummy,4 PM - 5 PM3,5 PM - 6 PM3
24,dummy24@colostate.edu,24,Dummy,10 AM - 11 AM4,11 AM - 12 PM4
25,dummy25@colostate.edu,25,Dummy,10 AM - 11 AM2,11 AM - 12 PM2
26,dummy26@colostate.edu,26,Dummy,12 PM - 1 PM4,1 PM - 2 PM4
27,dummy27@colostate.edu,27,Dummy,12 PM - 1 PM4,1 PM - 2 PM4
28,dummy28@colostate.edu,28,Dummy,2 PM - 3 PM3,3 PM - 4 PM3
29,dummy29@colostate.edu,29,Dummy,2 PM - 3 PM4,3 PM - 4 PM4
30,dummy30@colostate.edu,30,Dummy,4 PM - 5 PM2,5 PM - 6 PM2
31,dummy31@colostate.edu,31,Dummy,10 AM - 11 AM3,11 AM - 12 PM3
32,dummy32@colostate.edu,32,Dummy,10 AM - 11 AM5,11 AM - 12 PM5
33,dummy33@colostate.edu,33,Dummy,12 PM - 1 PM2,10 AM - 11 AM5
34,dummy34@colostate.edu,34,Dummy,12 PM - 1 PM,5 PM - 6 PM2
35,dummy35@colostate.edu,35,Dummy,11 AM - 12 PM5,12 PM - 1 PM5
36,dummy36@colostate.edu,36,Dummy,1 PM - 2 PM5,2 PM - 3 PM5
37,dummy37@colostate.edu,37,Dummy,1 PM - 2 PM5,2 PM - 3 PM5
38,dummy38@colostate.edu,38,Dummy,3 PM - 4 PM5,4 PM - 5 PM5
39,dummy39@colostate.edu,39,Dummy,2 PM - 3 PM2,3 PM - 4 PM2
